year,stadium,city,country,lat,lon,n
2019,Groupama Stadium,Lyon,France,45.7652,4.9822,3
2019,Parc des Princes,Paris,France,48.8414,2.253,7
2019,Roazhon Park,Rennes,France,48.1073,-1.7128,7
2019,Stade Auguste-Delaune II,Reims,France,49.2453,4.0292,6
2019,Stade Océane,Le Havre,France,49.498995,0.169033,7
2019,Stade de Nice,Nice,France,43.7053,7.1925,6
2019,Stade de la Mosson,Montpellier,France,43.6247,3.8127,5
2019,Stade des Alpes,Grenoble,France,45.187158,5.74068,5
2019,Stade du Hainaut,Valenciennes,France,50.348127,3.51671,6
2023,AAMI Park,Melbourne,Australia / New Zealand,-37.824986,144.983261,6
2023,Accor Stadium,Sydney,Australia / New Zealand,-33.847057,151.063156,5
2023,Allianz Stadium,Sydney,Australia / New Zealand,-33.889114,151.225204,6
2023,Coopers Stadium,Adelaide,Australia / New Zealand,-34.907352,138.568542,5
2023,Eden Park,Auckland,Australia / New Zealand,-36.875004,174.744186,9
2023,FMG Stadium Waikato,Hamilton,Australia / New Zealand,-37.781528,175.269363,5
2023,Forsyth Barr Stadium,Dunedin,Australia / New Zealand,-45.869484,170.524002,6
2023,HBF Park,Perth,Australia / New Zealand,-31.945724,115.869461,5
2023,Sky Stadium,Wellington,Australia / New Zealand,-41.272861,174.785202,9
2023,Suncorp Stadium,Brisbane,Australia / New Zealand,-27.464867,153.009186,8
